,industry,job_designation,job_description,responsibilities,requirements_skills,url_links
0,Accounting,Billing Manager job description,"We are looking for a Billing Manager to join our team and ensure that customers are billed the correct amount for each job that we deliver. Billing Manager responsibilities include working with customers to reconcile billing issues, working with the accounting department to ensure all accounts are up to date, and helping with the training of new employees in the billing department. Ultimately, you will work directly with customers to ensure all bills are accurate, along with other departments in our company as needed. ","Oversee the preparation of statements and bills
Maintain and/or ensure maintenance of client records related to invoicing and bill payment
Review work of billing staff to ensure accuracy, resolving inconsistencies as needed
Create and provide a prioritized list of clients to be invoiced to team members
Locate, or assist in the location of, hard-to-reach clients
Draft and distribute weekly reports of invoicing and billing metrics
Advise staff on proper, legal parameters for collections practices
Provide customer support to customers with disputes or inquiries concerning invoices or billing process","Proven work experience as a Billing Manager or similar role
Excellent verbal and written communication skills
Proficient in Microsoft Office Suite or related software
Basic understanding of collection practices and laws
Excellent interpersonal and supervisory skills
Ability to act with discretion, tact, and professionalism in all situations
Relevant training and/or certifications as a Billing Manager",https://resources.workable.com/billing-manager-job-description
1,Accounting,Accounts Payable Specialist job description,"We are looking for an Accounts Payable Specialist to join our team and work with our accounting department to oversee our organization’s expenses. Accounts Payable Specialist responsibilities include processing payments, verifying invoices and performing account reconciliations as needed. Ultimately, you will work with our accounting team to ensure our organization’s expenditures are accurate and our accounting practices are standardized across the organization.","Charge expenses to accounts and cost centers and control petty cash spending
Verify vendor accounts, pay vendors and resolve purchase order, invoice or payment discrepancies
Issue purchase order amendments and stop payments
Monitor payroll expense claims, including salary advances and overtime payments
Reconcile account transactions with the general ledger
Perform recordkeeping and prepare financial reports
Keep informed of regulatory requirements and best practices in accounting","Proven work experience as an Accounts Payable Specialist or similar role
Advanced competency in accounting and business management software
In-depth knowledge of accounts payable principles, accounting standards and industry regulations
Extensive experience in account reconciliation
Great time management and organizational skills
Excellent collaboration and communication abilities
Relevant training and/or certifications as an Accounts Payable Specialist",https://resources.workable.com/accounts-payable-specialist-job-description
2,Accounting,Medical Biller job description,"We are looking for a Medical Biller to join our medical facility’s administrative team to process patient billing information. A Medical Biller’s responsibilities include tasks that require data analysis and sound judgment to help our patients throughout the billing process. In addition, the best candidate for this position will be experienced with billing software and medical insurance policies. Ultimately, you will demonstrate excellent written and verbal communication skills, which are necessary when working with clients or agents who regularly deal in these matters.","Generate revenue by making payment arrangements, collecting accounts and monitoring and pursuing delinquent accounts
Collect delinquent accounts by establishing payment arrangements with patients, monitoring payments and following up with patients when payment lapses occur
Utilize collection agencies and small claims courts to collect accounts by evaluating and selecting collection agencies, determining the appropriateness of pursuing legal remedies and testifies in court cases, when necessary
Maintain Medicare bad-debt cost report
Secure outstanding balance payments for care of employees","Proven work experience as a Medical Biller or similar role
Solid understanding of billing software and electronic medical records
Must have the ability to multitask and manage time effectively
Excellent written and verbal communication skills
Outstanding problem-solving and organizational abilities
A Bachelor’s degree in business, health care administration, accounting or related field is preferred",https://resources.workable.com/medical-biller-job-description
3,Accounting,Cost analyst job description,"We are looking for a cost analyst to help us audit our expenses and find ways to make our operations more cost-efficient. You’ll be the go-to person for cost analysis and you’ll get to prepare reports to help management make better decisions. To do this job well, we’d like you to be well-versed in data and financial analysis, and have strong attention to detail. Ultimately, your job will be an integral part of our efforts to ensure profitability and business success.","Gather and analyze financial data
Determine standard costs and investigate variances with actual costs
Prepare detailed reports, both periodically and ad-hoc
Help management make important decisions based on costs and benefits (e.g. investments, market growth, pricing changes)
Create and manage budgets, and monitor spending
Conduct audits on financial processes and transactions
Monitor changes in processes or methods to calculate effects on overall costs
Estimate product costs for existing and new products
Forecast and analyze costs of processes, labor and inventory
Suggest cost-reducing or profitable solutions
Conduct market research to support future business planning","Proven experience as a cost analyst, cost specialist or similar role
Experience in data, operational and financial analysis
Knowledge of accounting processes and software
Strong analytical skills
A business acumen
Great attention to detail
Good communication aptitude
Degree in Finance, Accounting or similar field; Certified Public Accountant (CPA) preferred",https://resources.workable.com/cost-analyst-job-description
4,Accounting,Payroll Accountant job description,"We are looking for an experienced payroll accountant to overview daily payroll operations in our company. Your primary responsibility will be to issue employee payments, considering deductions and withholdings. You’ll prepare payroll schedules and records and you’ll contribute to various accounting tasks, such as updating payroll files. To succeed in this role, you must have strong mathematical skills and knowledge of national and regional laws on payroll and taxes. If you meet these criteria and you have a degree in Finance or similar field, we’d like to hear from you.","Oversee employee paychecks
Calculate net salaries considering deductions and withholdings
Ensure payroll and tax documents are accurate
Update general ledger and payroll files
Prepare accounting files, records, and schedules
Monitor paid and unpaid leaves
Process overtime earnings or holiday deductions
Resolve payroll problems (e.g. overlooked bank holidays, late payments, etc.)
Answer employee questions concerning payroll
Participate in payroll audits
Ensure compliance with governmental laws on payroll accounting and taxes","Previous experience as a payroll accountant or in a similar role
Understanding local and governmental rules about payroll 
Excellent knowledge of MS Office, especially Excel
Great computational ability
Attention to detail
A valid national certification (e.g. Fundamental Payroll Certification)
Degree in Accounting, Finance, or relevant field",https://resources.workable.com/payroll-accountant-job-description
5,Accounting,Tax Preparer job description,"We are looking for an experienced tax preparer to join our company. You’ll work closely with our clients and calculate their taxes including returns, liabilities, deductions, and expenses. You’ll review the accuracy of data on tax forms based on all tax rules and regulations. To succeed in this role, it’s important to have advanced mathematical skills and the ability to analyze complex data. If you have relevant experience and want to join our team, we’d like to hear from you.","Calculate tax payments
Estimate tax returns, deductibles, liabilities, and expenses
Prepare quarterly and annual reports
Collect data from income statements and expense documents
Complete clients’ tax documentation
Review data on reports and detect possible errors
Answer tax- and finance-related questions
Research new tax trends and regulations
Advise individuals and companies on tax strategies
Ensure compliance with government tax rules","Experience as a Tax Preparer or a similar role
Good knowledge of tax preparation software
Advanced MS Office skills (particularly in using Excel)
Comprehensive understanding of government tax laws
Excellent computational ability
Effective verbal and written communication skills
A degree in Finance or Accounting",https://resources.workable.com/tax-preparer-job-description
6,Accounting,Mortgage Loan Officer job description,"We are looking for an experienced mortgage loan officer to join our team. You’ll work closely with our clients and find the best mortgage loans for them. You’ll estimate creditworthiness by combining information from client interviews and financial documents. Submitting applications and reporting on their progress will also be part of your mortgage loan officer duties. o succeed in this role, it’s important to be client-oriented and have strong analytical skills. A degree in Finance or Business is a plus. If you’re also reliable, honest and possess good judgment, we’d like to meet you.","Collect financial information (e.g. taxes, debts)
Evaluate creditworthiness and eligibility for obtaining a mortgage loan
Interview clients 
Guide clients through mortgage loan options
Prepare and submit mortgage loan applications
Ensure data are in line with national and local financial rules
Monitor and report on application processes
Inform clients about loan approval or rejection
Help resolve problems with applications
Research new mortgage loan policies 
Ensure compliance with privacy laws and confidentiality policies throughout the process
Build a supportive referral network (e.g. with clients, lenders, real estate agents)","Experience as a mortgage loan officer or in a similar role
Previous experience in sales or customer support is an asset
Working knowledge of mortgage loan computer software (e.g. Calyx Point)
Ability to handle confidential information 
Great mathematical and analytical skills
Attention to detail 
Reliability and honesty
A valid license is a must
Degree in Finance or Business is a plus",https://resources.workable.com/mortgage-loan-officer-job-description
7,Accounting,Staff Accountant job description,"We are looking for a Staff Accountant to manage general accounting and financial processes of our company. You’ll be responsible for all daily accounting tasks, including preparing tax documents and updating expense files. You will perform financial transactions and post them in the general ledger, with strong attention to detail. You will also carry out relevant administrative duties (e.g. responding to clients via email and handling invoices). Ultimately, you will ensure the company’s finances run smoothly.","Maintain and update accounting records and files
Analyze budgets and create expense reports
Examine tax policies and handle tax payments and returns
Meet with clients to discuss confidential accounting issues
Post transactions and categorize records in the  general ledger (e.g. by assets, liabilities and expenses)
Reconcile bank statements
Analyze transactions with internal and external stakeholders
Conduct month-end and year-end closures
Prepare documents for audits
Advise clients on financial issues via email or phone
Apply new accounting policies and ensure compliance with rules and regulations
Report to the Accounting Manager and work to improve financial processes","Similar experience as a Staff Accountant or relevant role in accounting 
Excellent use of Microsoft Office Word and Excel; very good with spreadsheets
Knowledge of an accounting information system is a plus
Good math skills
Attention to detail 
Strong organizational and communication skills
Confidentiality and integrity
Degree in Accounting; MSc is a plus",https://resources.workable.com/staff-accountant-job-description
8,Accounting,Night Auditor job description,"We’re looking for a Night Auditor to assist guests with their overnight requests and balance accounts from the day shift. Night Auditor responsibilities include checking in guests, handling their requests and taking reservations. The Night Auditor also reconciles all accounts, processes invoices and prepares paychecks. Ultimately, you will provide excellent customer service to guests and keep the front desk and accounting operations running smoothly.","Check in guests, answer phones and take reservations
Respond to guest complaints, requests and emergencies
Process invoices, post checks to vendors and distribute employee checks
Reconcile accounts
Balance the cash drawer and log receipts
Investigate and resolve out-of-balance accounts
Keep accurate financial records and ledgers
Help prepare for forecasts and audits","Proven experience as a Night Auditor or in a similar role, preferably in the hospitality industry
Experience with accounting and facilities management software
Excellent math skills
An eye for detail
Good problem-solving skills
Strong customer service skills
The ability to multitask
Strong written and verbal communication skills
Availability to work overnight
BSc in accounting, finance or relevant field",https://resources.workable.com/night-auditor-job-description
9,Accounting,Accounts Administrator job description,"We are looking for an Accounts Administrator to manage our company’s accounts payable and receivable. Accounts Administrator responsibilities include reviewing and reconciling accounts, processing payments to external partners and maintaining updated records of invoices and receipts. To be successful in this role, you should have a Finance or Accounting background and be familiar with bookkeeping. Ultimately, you will ensure we process all financial transactions accurately and on time.","Manage obligations to suppliers, customers and third-party vendors
Process bank deposits
Reconcile financial statements
Prepare, send and store invoices
Contact clients and send reminders to ensure timely payments
Submit tax forms
Identify and address discrepancies
Report on the status of accounts payable and receivable
Update internal accounting databases and spreadsheets","Proven work experience as an Accounts Administrator or similar role
Good knowledge of bookkeeping procedures and debt collection regulations
Hands-on experience with accounting software
Advanced knowledge of Excel (using financial formulas and creating spreadsheets)
Solid data entry skills with an ability to identify numerical errors
Good organizational and time-management abilities
BSc degree in Finance, Accounting or relevant field",https://resources.workable.com/accounts-administrator-job-description
